#Energy	Time	I.max_1		I.total_1	I.back_1	I.max_2		I.total_2	I.back_2	I.max_3		I.total_3	I.back_3
20	0.5	0.9887997	0.3732529	0.4545156	0.9887997	0.3794373	0.4249745	0.8369702	0.4481265	0.3621893
23	1.593	0.9453108	0.3633444	0.4172472	0.9453108	0.3690964	0.420952	0.7641072	0.449477	0.39905
26	2.686	0.9712515	0.3905984	0.4092399	0.9712515	0.4030108	0.4323498	0.7648702	0.4506777	0.4052354
29	3.78	0.9136479	0.3556034	0.431218	0.9689627	0.3706133	0.4371692	0.7099368	0.4373241	0.3822103
32	4.874	0.8896145	0.3981901	0.4394393	0.8896145	0.4062395	0.4461509	0.8957183	0.4772008	0.4355291
35	5.968	0.9441664	0.382505	0.4300229	0.9441664	0.4018345	0.4612491	0.8178961	0.4654993	0.4078172
38	7.157	0.9552293	0.3828758	0.4140007	0.9552293	0.3945704	0.4355627	0.8415479	0.4582698	0.3800099
41	8.249	1.065096	0.4413159	0.462083	1.065096	0.4568808	0.4765338	0.8205664	0.4899396	0.4817769
44	9.341	1.33137		0.7093409	0.5527509	1.33137		0.7484498	0.630648	0.8198035	0.4963073	0.4430293
47	10.433	1.770836	0.8482522	0.6212736	1.770836	0.8957862	0.6867089	0.8442183	0.4852528	0.4565583
50	11.526	2.32284		0.8863524	0.6753777	2.32284		0.945668	0.7018282	0.7721183	0.4663797	0.3843425
53	12.619	3.358943	1.061164	0.7576609	3.358943	1.137659	0.8426033	0.870922	0.4729602	0.4111347
56	13.712	4.808573	1.386313	1.017228	4.808573	1.47376		1.095915	0.8484145	0.5130823	0.4394393
59	14.803	5.661565	1.48458		1.113505	5.661565	1.580644	1.152209	0.8102664	0.4967807	0.4679005
62	15.895	3.748436	1.005581	0.7730097	3.748436	1.072268	0.8169508	0.8911405	0.5015714	0.4547803
65	16.987	1.752525	0.6177273	0.5755658	1.752525	0.6464111	0.5864937	0.8537553	0.4807057	0.4511903
68	18.079	1.157796	0.482504	0.515611	1.157796	0.4969953	0.5555725	0.8114108	0.4936386	0.4564016
71	19.171	1.029237	0.4027501	0.4387075	1.029237	0.4140446	0.4348083	0.8434553	0.4686073	0.4134372
74	20.262	0.992996	0.4005572	0.4168852	0.992996	0.4091318	0.4328711	0.7755516	0.4592525	0.4030146
77	21.354	1.046403	0.425671	0.4187614	1.046403	0.4407483	0.4629065	0.7717368	0.4883728	0.4588199
80	22.446	1.133381	0.4518167	0.4827102	1.133381	0.4649786	0.5016099	0.7953886	0.4907911	0.43807
83	23.538	1.149785	0.4271134	0.4567111	1.149785	0.4409925	0.4668018	0.7618183	0.4669826	0.4372321
86	24.63	0.9708701	0.3967406	0.4288201	0.9708701	0.412475	0.4450828	0.8743553	0.4652574	0.428206
89	25.721	2.723777	0.7409269	0.6651362	2.723777	0.7937462	0.6665497	0.8056887	0.4914178	0.4293232
92	26.813	5.166021	1.156554	0.9158161	5.166021	1.275368	0.9419538	0.8529924	0.5043899	0.4503796
95	27.905	4.890973	1.106639	0.9327258	4.890973	1.230194	1.006335	0.9159368	0.5029628	0.4347661
98	28.997	3.721351	0.8360775	0.8291342	3.721351	0.9095071	0.8303832	0.787759	0.4887355	0.4483019
101	30.09	3.501236	0.7805037	0.807526	3.501236	0.8592673	0.7998309	0.9346294	0.4994732	0.4645626
104	31.182	3.353984	0.7928581	0.8591233	3.353984	0.8700328	0.8355967	0.8713034	0.5216213	0.4759593
107	32.274	2.569277	0.6557096	0.6900259	2.569277	0.7143759	0.6927702	0.7667776	0.4923068	0.4128514
110	33.366	1.775796	0.532112	0.5726386	1.775796	0.5760285	0.5772067	0.8335368	0.4747484	0.4030078
113	34.458	1.635411	0.5106117	0.5474297	1.635411	0.5594903	0.564088	0.8396405	0.4717818	0.427157
116	35.55	2.042833	0.5593843	0.6461594	2.042833	0.6230035	0.660535	0.9212775	0.4813375	0.4677779
119	36.642	2.928632	0.6711501	0.7579567	2.928632	0.7629905	0.7632213	0.8175146	0.5168306	0.4968658
122	37.734	3.61568		0.7600092	0.8420112	3.61568		0.8921545	0.9134402	0.9609516	0.508656	0.4843792
125	38.826	4.328288	0.8746444	1.01541		4.328288	1.0331		1.075222	0.8995331	0.5183361	0.4607682
128	39.918	4.83375		0.9440372	1.081897	4.83375		1.127593	1.12356		0.8735923	0.5374681	0.4877852
131	41.01	4.58121		0.8973709	1.019805	4.58121		1.076046	1.068703	0.8838924	0.5018455	0.4435061
134	42.101	4.010895	0.8556319	0.9774137	4.010895	1.010771	1.020085	0.8217109	0.5306849	0.4438944
137	43.193	3.143406	0.7155352	0.8199514	3.143406	0.8209937	0.7956515	0.8644368	0.5025114	0.4380632
140	44.285	2.256081	0.6083189	0.681462	2.256081	0.6742822	0.6926048	0.8720664	0.5093969	0.4399502
143	45.376	1.726203	0.5139934	0.5506333	1.726203	0.5574476	0.5496044	0.8304849	0.4836605	0.4523143
146	46.468	1.408811	0.4892617	0.5558923	1.408811	0.5191559	0.5718109	0.879696	0.4956567	0.4161825
149	47.561	1.371807	0.488074	0.5434163	1.371807	0.5093484	0.5419409	0.8457442	0.5102415	0.4581523
152	48.654	1.633885	0.5141326	0.5714201	1.633885	0.5433148	0.5448783	0.7160406	0.5039198	0.4635067
155	49.746	2.192755	0.5589188	0.5946321	2.192755	0.6145672	0.5993708	0.8365886	0.4906549	0.440754
158	50.838	3.015229	0.6614212	0.6630146	3.015229	0.7290387	0.6605307	0.9838405	0.5198297	0.4466057
161	51.93	3.39938		0.7138707	0.6441585	3.39938		0.7851698	0.6571313	0.9231849	0.5016088	0.4225111
164	53.022	3.309732	0.738757	0.706593	3.309732	0.8084908	0.7041934	0.8350627	0.5137668	0.4505159
167	54.114	2.880947	0.6866155	0.6190547	2.880947	0.7498564	0.6415966	0.932722	0.502847	0.4567218
170	55.206	2.096622	0.5778874	0.5694699	2.096622	0.6260976	0.5774229	0.798822	0.4927462	0.4331721
173	56.298	2.183218	0.627012	0.5755658	2.183218	0.6736441	0.5982136	0.8507035	0.5291181	0.4895155
176	57.39	3.79841		0.7945451	0.6800879	3.79841		0.8781126	0.6528376	0.8377331	0.5099367	0.4557
179	58.481	5.146183	0.9632244	0.7956923	5.146183	1.074858	0.7939941	0.9269997	0.531567	0.5177724
182	59.573	5.699332	1.078586	0.9014132	5.699332	1.20469		0.8382036	0.8831294	0.5698293	0.5179495
185	60.665	5.306025	1.00729		0.8037502	5.306025	1.131084	0.8076681	0.973159	0.5471175	0.5325208
188	61.756	4.054384	0.8196494	0.7372867	4.054384	0.9047205	0.7046385	0.8617664	0.5478839	0.4781937
191	62.848	2.167196	0.6400191	0.6497834	2.167196	0.6840648	0.611841	0.8415479	0.5364139	0.4568376
194	63.94	1.123844	0.5072636	0.5495629	1.123844	0.5314875	0.5492654	0.7946257	0.5312418	0.457403
197	65.033	1.101718	0.484899	0.5386867	1.020463	0.5063638	0.5246387	0.9361553	0.5198024	0.4673419
200	66.125	1.395459	0.489995	0.5324312	1.395459	0.5118835	0.5012411	1.0506		0.4901507	0.4390306
203	67.216	1.631214	0.5462884	0.5711516	1.631214	0.5753627	0.5678393	0.8987701	0.5225034	0.4804077
206	68.308	1.516007	0.5147185	0.5249534	1.516007	0.5413602	0.5228584	0.8480331	0.5134041	0.4506181
209	69.401	1.411862	0.5501341	0.5894004	1.411862	0.5707502	0.5518637	1.00177		0.533471	0.4849037
212	70.493	1.50647		0.5355732	0.556449	1.50647		0.5671033	0.5338789	0.8713034	0.5078743	0.4355223
215	71.585	1.878414	0.5966831	0.6050684	1.878414	0.6336946	0.5757614	0.8892331	0.5151566	0.4558702
218	72.676	2.179403	0.6050751	0.5778236	2.179403	0.6558823	0.5813988	0.8728294	0.5269399	0.4887798
221	73.768	2.178259	0.6532773	0.6110787	2.178259	0.6938917	0.5896685	0.8758812	0.5479435	0.5136851
224	74.86	2.267144	0.6055839	0.5627356	2.267144	0.6580463	0.5755367	0.8850368	0.5052312	0.4621987
227	75.952	2.014222	0.6098471	0.6037098	2.014222	0.6533028	0.5861164	0.8217109	0.5334063	0.5098226
230	77.044	1.79754		0.5611857	0.5619181	1.79754		0.5952628	0.5715353	0.8541368	0.5169141	0.4801897
233	78.135	1.607181	0.5458086	0.5559779	1.607181	0.5813762	0.555564	0.8903775	0.5040851	0.4122179
236	79.227	1.446577	0.5373408	0.5583214	1.446577	0.5718621	0.5693143	0.8445997	0.5227862	0.4804962
239	80.319	1.340144	0.5306963	0.5554213	1.340144	0.5490432	0.5590652	0.8541368	0.5480116	0.4880918
242	81.411	1.07654		0.4596548	0.4620635	1.07654		0.4815571	0.4792974	0.7801294	0.4883029	0.4075379
245	82.504	1.061663	0.4823352	0.496136	1.061663	0.50498		0.5209382	0.8850368	0.5073634	0.4727167
248	83.595	1.079974	0.5023411	0.5195426	1.079974	0.5227203	0.5206797	0.9460738	0.5117607	0.4407745
251	84.687	1.216926	0.4917668	0.5258098	1.216926	0.5108646	0.501275	0.8220924	0.5170946	0.4592968
254	85.779	1.396603	0.5486063	0.5405357	1.396603	0.5710228	0.56455		0.9025849	0.551055	0.4993659
257	86.871	1.555681	0.584532	0.5758266	1.555681	0.6074716	0.5541059	0.8911405	0.564652	0.513399
260	87.963	2.010407	0.644729	0.642185	2.010407	0.6711152	0.6238958	0.9224219	0.5817608	0.5413493
263	89.055	2.484207	0.6799775	0.6671253	2.484207	0.7202077	0.6606706	0.9712515	0.5519474	0.4803123
266	90.147	2.814569	0.7369124	0.6399934	2.814569	0.7916703	0.6783714	0.9853664	0.5650284	0.5548306
269	91.239	3.714103	0.8378664	0.6740893	3.714103	0.9072251	0.7007897	0.8575701	0.5474887	0.513399
272	92.331	4.871136	1.034628	0.7908965	4.871136	1.129515	0.8057225	0.881222	0.5885661	0.5255042
275	93.423	6.225776	1.187466	0.8289123	6.225776	1.320347	0.8552304	0.9578997	0.5675114	0.5180857
278	94.514	6.907102	1.296145	0.8785048	6.907102	1.441253	0.8584687	0.9384441	0.5619715	0.5100815
281	95.606	6.992554	1.297131	0.8646314	6.992554	1.44216		0.8587443	0.9063997	0.5657659	0.5172751
284	96.698	6.094165	1.213898	0.8187992	6.094165	1.346512	0.8544462	0.890759	0.579896	0.5572421
287	97.79	4.675436	1.054549	0.7622504	4.675436	1.154453	0.8124452	0.9357738	0.565759	0.5142369
290	98.882	3.255944	0.8691076	0.7118871	3.255944	0.9391287	0.7561469	0.8388776	0.5423064	0.4893997
293	99.974	1.989807	0.7248359	0.6571912	1.989807	0.7734312	0.695165	0.9567553	0.5684873	0.5201158
296	101.067	1.255455	0.6041788	0.591374	1.255455	0.6269639	0.602749	0.8960997	0.5373302	0.5217916
299	102.159	1.187551	0.5532582	0.5833862	1.187551	0.5711588	0.5798051	0.8674886	0.5461315	0.4965253
302	103.251	1.119648	0.5502294	0.5933281	1.119648	0.5623986	0.5985485	0.8651997	0.5624142	0.5131674
305	104.343	1.02504		0.5248591	0.5601587	1.02504		0.5285425	0.5379438	0.9643849	0.5578706	0.5224319
308	105.434	1.054796	0.5026674	0.5294222	1.054796	0.5190158	0.575151	0.8499405	0.5412692	0.5132151
